Frame,Frame Duration in Nanoseconds,,,,16045187.87,771064.592
804,17042800,,,,,
805,15349500,,,,,
806,15188900,,,,,
807,15869500,,,,,
808,15417000,,,,,
809,16327200,,,,,
810,16205400,,,,,
811,18390800,,,,,
812,16712600,,,,,
813,16949400,,,,,
814,15853000,,,,,
815,16257300,,,,,
816,15991700,,,,,
817,17328900,,,,,
818,16536900,,,,,
819,16878400,,,,,
820,16710800,,,,,
821,16949100,,,,,
822,16279800,,,,,
823,17166800,,,,,
824,17439300,,,,,
825,17403800,,,,,
826,16646300,,,,,
827,16993000,,,,,
828,16561500,,,,,
829,17991200,,,,,
830,16313200,,,,,
831,15586200,,,,,
832,15366500,,,,,
833,16023200,,,,,
834,16088100,,,,,
835,16567400,,,,,
836,16238000,,,,,
837,18003300,,,,,
838,16975600,,,,,
839,16746900,,,,,
840,16396000,,,,,
841,16732800,,,,,
842,16277200,,,,,
843,17399500,,,,,
844,16942300,,,,,
845,16789400,,,,,
846,16533600,,,,,
847,16870800,,,,,
848,16293600,,,,,
849,16939700,,,,,
850,17462400,,,,,
851,17641300,,,,,
852,16029700,,,,,
853,16140700,,,,,
854,15867500,,,,,
855,17848400,,,,,
856,16747600,,,,,
857,15743200,,,,,
858,15109200,,,,,
859,16299500,,,,,
860,16576800,,,,,
861,17063200,,,,,
862,16222900,,,,,
863,16657500,,,,,
864,17452700,,,,,
865,17837000,,,,,
866,16306900,,,,,
867,17436200,,,,,
868,16245600,,,,,
869,15262300,,,,,
870,15292500,,,,,
871,15871400,,,,,
872,15508700,,,,,
873,17344200,,,,,
874,16862300,,,,,
875,17870800,,,,,
876,17526600,,,,,
877,17411200,,,,,
878,15645200,,,,,
879,17134500,,,,,
880,16535300,,,,,
881,16123400,,,,,
882,15075700,,,,,
883,15123700,,,,,
884,15011000,,,,,
885,15570000,,,,,
886,15020300,,,,,
887,15658100,,,,,
888,15313000,,,,,
889,16923900,,,,,
890,15982200,,,,,
891,16487500,,,,,
892,16200700,,,,,
893,16302700,,,,,
894,16286900,,,,,
895,15816600,,,,,
896,14989700,,,,,
897,14853800,,,,,
898,14901300,,,,,
899,16452600,,,,,
900,16624000,,,,,
901,17026200,,,,,
902,17349900,,,,,
903,17239800,,,,,
904,15499100,,,,,
905,17133900,,,,,
906,16084600,,,,,
907,17126900,,,,,
908,15836100,,,,,
909,15625100,,,,,
910,15313900,,,,,
911,15918900,,,,,
912,15373500,,,,,
913,16524500,,,,,
914,16716100,,,,,
915,18846300,,,,,
916,17018000,,,,,
917,16590500,,,,,
918,16342800,,,,,
919,17002700,,,,,
920,16452000,,,,,
921,17933100,,,,,
922,15985500,,,,,
923,15879700,,,,,
924,15420200,,,,,
925,15909900,,,,,
926,15361400,,,,,
927,16543200,,,,,
928,16596500,,,,,
929,18025900,,,,,
930,17699800,,,,,
931,17341500,,,,,
932,16583900,,,,,
933,16909300,,,,,
934,16783600,,,,,
935,15946700,,,,,
936,15257200,,,,,
937,15721400,,,,,
938,15241000,,,,,
939,15547300,,,,,
940,15746700,,,,,
941,17166800,,,,,
942,16684400,,,,,
943,16764100,,,,,
944,16170900,,,,,
945,16618800,,,,,
946,16163900,,,,,
947,17948800,,,,,
948,15912300,,,,,
949,15599300,,,,,
950,15291300,,,,,
951,15650000,,,,,
952,15014400,,,,,
953,16768400,,,,,
954,15316500,,,,,
955,15311600,,,,,
956,15231400,,,,,
957,15782200,,,,,
958,15347700,,,,,
959,15999100,,,,,
960,15733700,,,,,
961,18045600,,,,,
962,16504600,,,,,
963,15729300,,,,,
964,15325100,,,,,
965,15923000,,,,,
966,15878900,,,,,
967,17216000,,,,,
968,16414300,,,,,
969,17584900,,,,,
970,15130700,,,,,
971,15482400,,,,,
972,15078000,,,,,
973,15806300,,,,,
974,15752800,,,,,
975,18129900,,,,,
976,15860100,,,,,
977,16201700,,,,,
978,15732600,,,,,
979,15947400,,,,,
980,15240700,,,,,
981,15809800,,,,,
982,15475000,,,,,
983,16510500,,,,,
984,17290000,,,,,
985,17593900,,,,,
986,16584500,,,,,
987,17530500,,,,,
988,16529300,,,,,
989,14963800,,,,,
990,14962100,,,,,
991,15929800,,,,,
992,15745500,,,,,
993,16914200,,,,,
994,16335200,,,,,
995,18243000,,,,,
996,16702400,,,,,
997,16756000,,,,,
998,16369600,,,,,
999,16705900,,,,,
1000,17549300,,,,,
1001,17165500,,,,,
1002,14785300,,,,,
1003,15962200,,,,,
1004,15797000,,,,,
1005,17000300,,,,,
1006,16251400,,,,,
1007,16908800,,,,,
1008,17280200,,,,,
1009,17035800,,,,,
1010,15411000,,,,,
1011,15904600,,,,,
1012,15459700,,,,,
1013,15233100,,,,,
1014,16194700,,,,,
1015,15800800,,,,,
1016,15323800,,,,,
1017,16102900,,,,,
1018,16084400,,,,,
1019,16536000,,,,,
1020,16072100,,,,,
1021,17908000,,,,,
1022,16384000,,,,,
1023,16423400,,,,,
1024,15942900,,,,,
1025,16402400,,,,,
1026,16390300,,,,,
1027,16949900,,,,,
1028,15138400,,,,,
1029,15472200,,,,,
1030,14960900,,,,,
1031,14727700,,,,,
1032,14756700,,,,,
1033,15505100,,,,,
1034,15717400,,,,,
1035,16177100,,,,,
1036,15652500,,,,,
1037,16751900,,,,,
1038,16469400,,,,,
1039,17140400,,,,,
1040,16962300,,,,,
1041,17875400,,,,,
1042,16198300,,,,,
1043,15999700,,,,,
1044,15319000,,,,,
1045,15843900,,,,,
